,Imputation %,imputation,mae,mse,rmse,R2,mae_diff,mse_diff,rmse_diff,R2_diff
0,0.0,none,3.604571180837609,24.098504835627192,4.909022798442394,0.7049398435452772,,,,
0,0.01,MAR,3.61535861882196,24.082785174309002,4.907421438424563,0.7051323138150968,0.010787437984351111,-0.015719661318190248,-0.0016013600178315102,0.00019247026981961124
0,0.05,MAR,3.6605963555746555,24.582076786185063,4.958031543484275,0.6990190274464387,0.0560251747370466,0.48357195055787017,0.04900874504188124,-0.005920816098838433
0,0.1,MAR,3.6564220388829654,24.903579623827614,4.990348647522296,0.6950825725409375,0.051850858045356496,0.8050747882004217,0.08132584907990204,-0.00985727100433964
0,0.2,MAR,3.5578304923824167,24.044458655400973,4.903514928640574,0.7056015806323745,-0.04674068845519219,-0.05404618022621932,-0.0055078698018204975,0.0006617370870973804
0,0.33,MAR,3.564872367095087,24.066527083175593,4.905764678740267,0.7053313765763012,-0.03969881374252182,-0.03197775245159917,-0.0032581197021270825,0.00039153303102401615
0,0.5,MAR,3.6210703709514673,24.47596060446519,4.947318526683438,0.7003183054470536,0.016499190113858475,0.37745576883799714,0.0382957282410441,-0.004621538098223521
0,0.1,MAR2V,3.5774728078763265,23.91488300350903,4.890284552406846,0.7071880945003817,-0.02709837296128237,-0.1836218321181633,-0.0187382460355483,0.0022482509551045027
0,0.2,MAR2V,3.5460222725350636,23.572457993362114,4.855147576888072,0.7113807188045496,-0.05854890830254522,-0.5260468422650781,-0.05387522155432212,0.006440875259272394
0,0.3,MAR2V,3.544113162595331,22.764455400616,4.771211104176381,0.7212738376124446,-0.06045801824227803,-1.3340494350111918,-0.1378116942660128,0.0163339940671674
0,0.25,NAR,3.536339485129765,23.92872859209403,4.891699969549853,0.7070185702264915,-0.06823169570784371,-0.169776243533164,-0.01732282889254133,0.002078726681214338
0,0.25,NAR,3.536339485129765,23.92872859209403,4.891699969549853,0.7070185702264915,-0.06823169570784371,-0.169776243533164,-0.01732282889254133,0.002078726681214338
0,0.25,NAR,3.536339485129765,23.92872859209403,4.891699969549853,0.7070185702264915,-0.06823169570784371,-0.169776243533164,-0.01732282889254133,0.002078726681214338
0,0.25,NAR,3.536339485129765,23.92872859209403,4.891699969549853,0.7070185702264915,-0.06823169570784371,-0.169776243533164,-0.01732282889254133,0.002078726681214338
